id_sesion,sesion,fecha,legislatura,leg_ses,url
2424,79,martes 28 septiembre 2010,358,l358s79,https://www.camara.cl/verdoc.aspx?prmid=2424&prmtipo=TEXTOSESION&prmtipodoc=83
2423,78,martes 21 septiembre 2010,358,l358s78,https://www.camara.cl/verdoc.aspx?prmid=2423&prmtipo=TEXTOSESION&prmtipodoc=83
2422,77,jueves 16 septiembre 2010,358,l358s77,https://www.camara.cl/verdoc.aspx?prmid=2422&prmtipo=TEXTOSESION&prmtipodoc=83
2421,76,miércoles 15 septiembre 2010,358,l358s76,https://www.camara.cl/verdoc.aspx?prmid=2421&prmtipo=TEXTOSESION&prmtipodoc=83
2420,75,martes 14 septiembre 2010,358,l358s75,https://www.camara.cl/verdoc.aspx?prmid=2420&prmtipo=TEXTOSESION&prmtipodoc=83
2419,74,jueves 9 septiembre 2010,358,l358s74,https://www.camara.cl/verdoc.aspx?prmid=2419&prmtipo=TEXTOSESION&prmtipodoc=83
2418,73,miércoles 8 septiembre 2010,358,l358s73,https://www.camara.cl/verdoc.aspx?prmid=2418&prmtipo=TEXTOSESION&prmtipodoc=83
2417,72,miércoles 8 septiembre 2010,358,l358s72,https://www.camara.cl/verdoc.aspx?prmid=2417&prmtipo=TEXTOSESION&prmtipodoc=83
2416,71,martes 7 septiembre 2010,358,l358s71,https://www.camara.cl/verdoc.aspx?prmid=2416&prmtipo=TEXTOSESION&prmtipodoc=83
2415,70,jueves 2 septiembre 2010,358,l358s70,https://www.camara.cl/verdoc.aspx?prmid=2415&prmtipo=TEXTOSESION&prmtipodoc=83
2414,69,miércoles 1 septiembre 2010,358,l358s69,https://www.camara.cl/verdoc.aspx?prmid=2414&prmtipo=TEXTOSESION&prmtipodoc=83
2413,68,miércoles 1 septiembre 2010,358,l358s68,https://www.camara.cl/verdoc.aspx?prmid=2413&prmtipo=TEXTOSESION&prmtipodoc=83
2411,67,martes 31 agosto 2010,358,l358s67,https://www.camara.cl/verdoc.aspx?prmid=2411&prmtipo=TEXTOSESION&prmtipodoc=83
2410,66,jueves 19 agosto 2010,358,l358s66,https://www.camara.cl/verdoc.aspx?prmid=2410&prmtipo=TEXTOSESION&prmtipodoc=83
2409,65,miércoles 18 agosto 2010,358,l358s65,https://www.camara.cl/verdoc.aspx?prmid=2409&prmtipo=TEXTOSESION&prmtipodoc=83
2406,64,martes 17 agosto 2010,358,l358s64,https://www.camara.cl/verdoc.aspx?prmid=2406&prmtipo=TEXTOSESION&prmtipodoc=83
2405,63,jueves 12 agosto 2010,358,l358s63,https://www.camara.cl/verdoc.aspx?prmid=2405&prmtipo=TEXTOSESION&prmtipodoc=83
2401,62,miércoles 11 agosto 2010,358,l358s62,https://www.camara.cl/verdoc.aspx?prmid=2401&prmtipo=TEXTOSESION&prmtipodoc=83
2400,61,martes 10 agosto 2010,358,l358s61,https://www.camara.cl/verdoc.aspx?prmid=2400&prmtipo=TEXTOSESION&prmtipodoc=83
2399,60,jueves 5 agosto 2010,358,l358s60,https://www.camara.cl/verdoc.aspx?prmid=2399&prmtipo=TEXTOSESION&prmtipodoc=83
2398,59,miércoles 4 agosto 2010,358,l358s59,https://www.camara.cl/verdoc.aspx?prmid=2398&prmtipo=TEXTOSESION&prmtipodoc=83
2397,58,martes 3 agosto 2010,358,l358s58,https://www.camara.cl/verdoc.aspx?prmid=2397&prmtipo=TEXTOSESION&prmtipodoc=83
2396,57,jueves 29 julio 2010,358,l358s57,https://www.camara.cl/verdoc.aspx?prmid=2396&prmtipo=TEXTOSESION&prmtipodoc=83
2395,56,miércoles 28 julio 2010,358,l358s56,https://www.camara.cl/verdoc.aspx?prmid=2395&prmtipo=TEXTOSESION&prmtipodoc=83
2394,55,martes 27 julio 2010,358,l358s55,https://www.camara.cl/verdoc.aspx?prmid=2394&prmtipo=TEXTOSESION&prmtipodoc=83
2393,54,jueves 15 julio 2010,358,l358s54,https://www.camara.cl/verdoc.aspx?prmid=2393&prmtipo=TEXTOSESION&prmtipodoc=83
2392,53,miércoles 14 julio 2010,358,l358s53,https://www.camara.cl/verdoc.aspx?prmid=2392&prmtipo=TEXTOSESION&prmtipodoc=83
2391,52,miércoles 14 julio 2010,358,l358s52,https://www.camara.cl/verdoc.aspx?prmid=2391&prmtipo=TEXTOSESION&prmtipodoc=83
2390,51,martes 13 julio 2010,358,l358s51,https://www.camara.cl/verdoc.aspx?prmid=2390&prmtipo=TEXTOSESION&prmtipodoc=83
2389,50,jueves 8 julio 2010,358,l358s50,https://www.camara.cl/verdoc.aspx?prmid=2389&prmtipo=TEXTOSESION&prmtipodoc=83
2388,49,miércoles 7 julio 2010,358,l358s49,https://www.camara.cl/verdoc.aspx?prmid=2388&prmtipo=TEXTOSESION&prmtipodoc=83
2387,48,miércoles 7 julio 2010,358,l358s48,https://www.camara.cl/verdoc.aspx?prmid=2387&prmtipo=TEXTOSESION&prmtipodoc=83
2386,47,martes 6 julio 2010,358,l358s47,https://www.camara.cl/verdoc.aspx?prmid=2386&prmtipo=TEXTOSESION&prmtipodoc=83
2385,46,jueves 1 julio 2010,358,l358s46,https://www.camara.cl/verdoc.aspx?prmid=2385&prmtipo=TEXTOSESION&prmtipodoc=83
2384,45,miércoles 30 junio 2010,358,l358s45,https://www.camara.cl/verdoc.aspx?prmid=2384&prmtipo=TEXTOSESION&prmtipodoc=83
2383,44,miércoles 30 junio 2010,358,l358s44,https://www.camara.cl/verdoc.aspx?prmid=2383&prmtipo=TEXTOSESION&prmtipodoc=83
2382,43,martes 29 junio 2010,358,l358s43,https://www.camara.cl/verdoc.aspx?prmid=2382&prmtipo=TEXTOSESION&prmtipodoc=83
2381,42,martes 29 junio 2010,358,l358s42,https://www.camara.cl/verdoc.aspx?prmid=2381&prmtipo=TEXTOSESION&prmtipodoc=83
2380,41,jueves 17 junio 2010,358,l358s41,https://www.camara.cl/verdoc.aspx?prmid=2380&prmtipo=TEXTOSESION&prmtipodoc=83
2379,40,miércoles 16 junio 2010,358,l358s40,https://www.camara.cl/verdoc.aspx?prmid=2379&prmtipo=TEXTOSESION&prmtipodoc=83
2378,39,martes 15 junio 2010,358,l358s39,https://www.camara.cl/verdoc.aspx?prmid=2378&prmtipo=TEXTOSESION&prmtipodoc=83
2377,38,jueves 10 junio 2010,358,l358s38,https://www.camara.cl/verdoc.aspx?prmid=2377&prmtipo=TEXTOSESION&prmtipodoc=83
2376,37,miércoles 9 junio 2010,358,l358s37,https://www.camara.cl/verdoc.aspx?prmid=2376&prmtipo=TEXTOSESION&prmtipodoc=83
2375,36,miércoles 9 junio 2010,358,l358s36,https://www.camara.cl/verdoc.aspx?prmid=2375&prmtipo=TEXTOSESION&prmtipodoc=83
2374,35,martes 8 junio 2010,358,l358s35,https://www.camara.cl/verdoc.aspx?prmid=2374&prmtipo=TEXTOSESION&prmtipodoc=83
2373,34,martes 8 junio 2010,358,l358s34,https://www.camara.cl/verdoc.aspx?prmid=2373&prmtipo=TEXTOSESION&prmtipodoc=83
2372,33,jueves 3 junio 2010,358,l358s33,https://www.camara.cl/verdoc.aspx?prmid=2372&prmtipo=TEXTOSESION&prmtipodoc=83
2371,32,miércoles 2 junio 2010,358,l358s32,https://www.camara.cl/verdoc.aspx?prmid=2371&prmtipo=TEXTOSESION&prmtipodoc=83
2370,31,miércoles 2 junio 2010,358,l358s31,https://www.camara.cl/verdoc.aspx?prmid=2370&prmtipo=TEXTOSESION&prmtipodoc=83
2369,30,martes 1 junio 2010,358,l358s30,https://www.camara.cl/verdoc.aspx?prmid=2369&prmtipo=TEXTOSESION&prmtipodoc=83
2368,29,jueves 20 mayo 2010,358,l358s29,https://www.camara.cl/verdoc.aspx?prmid=2368&prmtipo=TEXTOSESION&prmtipodoc=83
2367,28,miércoles 19 mayo 2010,358,l358s28,https://www.camara.cl/verdoc.aspx?prmid=2367&prmtipo=TEXTOSESION&prmtipodoc=83
2366,27,martes 18 mayo 2010,358,l358s27,https://www.camara.cl/verdoc.aspx?prmid=2366&prmtipo=TEXTOSESION&prmtipodoc=83
2365,26,jueves 13 mayo 2010,358,l358s26,https://www.camara.cl/verdoc.aspx?prmid=2365&prmtipo=TEXTOSESION&prmtipodoc=83
2364,25,miércoles 12 mayo 2010,358,l358s25,https://www.camara.cl/verdoc.aspx?prmid=2364&prmtipo=TEXTOSESION&prmtipodoc=83
